City,Date,Year,Month,Junction_ID,Traffic_volume,Zone,Road_Capacity2,Congestion_%,PM2.5,NO2,CO,AQI,Sensor_ID,Sensor_Status,Uptime_Percentage,Is_Weekend,Is_Festival,Weather_Condition,Severity_Score,Zone_Rank,Avg_Speed,Hour,Day_of_Week,Is_Peak_Hour,Congestion_Level,Pollution_Level,Prev_Traffic,Prev_AQI,AQI_Change,Traffic_MA_3,Traffic_Anomaly_Flag,DaY_Type,Smart_City_Index
Bangalore,06-10-2023,2023,Oct,J11,67,Central,196,34.18,77.34,50.91,2.41,102.09,S11,Unstable,85.07066743,0,0,Fog,0.24,HIGH,73,1,2,0,High,Severe,67,102.09,-27.76,15870.67,0,WeekDay,64.29
Bangalore,01-01-2024,2024,Jan,J12,84,East,105,80,23.37,20.67,0.97,37.21,S12,Unstable,89.56608272,0,0,Clear,0.09,LOW,50,1,2,0,Medium,Severe,84,37.21,-64.88,15867,0,WeekDay,87.74
Pune,31-08-2024,2024,Aug,J1,66,North,419,15.75,76.43,46.09,2.16,95.15,S1,Active,91.73982107,0,0,Clear,0.22,MEDIUM,82,4,2,0,Medium,Moderate,66,95.15,57.94,15813.33,0,WeekDay,63.44
Pune,17-11-2026,2026,Nov,J2,111,North,101,109.9,35.82,24.3,1.32,51.65,S2,Active,99.06718374,0,0,Fog,0.11,LOW,35,11,2,0,High,Severe,111,51.65,-43.5,15945,0,WeekDay,76.03
Warangal,09-08-2023,2023,Aug,J3,67,West,122,54.92,69.64,45.37,1.88,85.99,S3,Unstable,89.90510527,0,0,Clear,0.21,MEDIUM,63,8,2,0,Low,Moderate,67,85.99,34.34,15926.89,1,WeekDay,48.35
Bangalore,10-10-2026,2026,Oct,J4,99,East,174,56.9,50.44,26.05,1.39,60.9,S4,Active,96.74696145,0,0,Clear,0.13,MEDIUM,62,2,2,0,Low,Moderate,99,60.9,-25.09,16016.33,0,WeekDay,72.73
Hyderabad,21-06-2024,2024,Jun,J5,82,North,105,78.1,90.65,50.2,2.61,112.58,S5,Active,91.13148369,0,0,Clear,0.25,HIGH,51,1,2,0,Medium,Severe,82,112.58,51.68,15915.22,0,WeekDay,62.42
Pune,07-11-2025,2025,Nov,J6,110,South,319,34.48,37.13,22.86,1.22,49.82,S6,Unstable,86.4773707,0,0,Fog,0.11,LOW,73,4,2,0,High,Moderate,110,49.82,-62.77,16011.44,0,WeekDay,84.62
Bangalore,13-09-2024,2024,Sep,J7,72,South,384,18.75,53.5,34.23,1.75,71.97,S7,Unstable,86.48265622,0,0,Fog,0.16,MEDIUM,81,3,2,0,Low,Severe,72,71.97,22.15,15924.11,0,WeekDay,66.09
Chennai,13-09-2022,2022,Sep,J8,116,North,267,43.45,10.77,12.36,0.94,27.81,S8,Active,91.4865073,0,0,Clear,0.05,LOW,68,2,2,0,Medium,Moderate,116,27.81,-44.16,15855.78,0,WeekDay,92.52
Hyderabad,03-09-2025,2025,Sep,J9,94,North,452,20.8,32.14,17.99,1,41.45,S9,Unstable,85.86824697,0,0,Fog,0.09,LOW,80,4,2,0,Medium,Severe,94,41.45,13.64,15846.78,0,WeekDay,83.79
Chennai,24-05-2025,2025,May,J10,64,South,306,20.92,81.28,37.97,1.87,89.37,S10,Active,93.57428862,0,0,Heavy Traffic Event,0.2,MEDIUM,80,6,2,0,High,Severe,64,89.37,47.93,15874.11,0,WeekDay,70.31
Pune,07-10-2024,2024,Oct,J11,104,West,179,58.1,80.04,51.32,2.56,106.68,S11,Active,92.40474603,0,0,Rain,0.24,HIGH,61,12,2,0,Medium,Moderate,104,106.68,17.3,15956.89,0,WeekDay,65.79
Bangalore,22-10-2024,2024,Oct,J12,91,West,161,56.52,50.59,35.16,1.68,69.46,S12,Active,95.53802779,0,0,Clear,0.16,MEDIUM,62,6,2,0,Medium,Severe,91,69.46,-37.21,15921.33,0,WeekDay,67.35
Chennai,24-01-2024,2024,Jan,J1,112,North,65,172.31,97.21,56.79,2.65,118.63,S1,Unstable,87.78432294,0,0,Fog,0.28,HIGH,20,10,2,0,Medium,Moderate,112,118.63,49.17,15872.56,0,WeekDay,50.33
Chennai,29-09-2024,2024,Sep,J2,89,Central,77,115.58,51.1,31.88,1.58,66.62,S2,Active,93.89393881,0,0,Clear,0.15,MEDIUM,32,9,2,0,Medium,Severe,89,66.62,-52.01,15870,0,WeekDay,74.78
Pune,12-08-2026,2026,Aug,J3,75,West,131,57.25,75.45,43.52,1.94,89.52,S3,Unstable,87.61783715,0,0,Rain,0.21,MEDIUM,61,6,2,0,Medium,Moderate,75,89.52,22.91,15941.67,0,WeekDay,52.91
Bangalore,29-01-2022,2022,Jan,J4,79,South,479,16.49,79.62,53.73,2.6,108.01,S4,Active,95.8335057,0,1,Clear,0.25,HIGH,82,12,2,0,High,Severe,79,108.01,18.49,15857.22,1,WeekDay,39.28
Chennai,23-10-2025,2025,Oct,J5,120,North,325,36.92,26.83,11.77,1.27,42.25,S5,Unstable,89.60737987,0,0,Rain,0.07,LOW,72,4,2,0,Medium,Severe,120,42.25,-65.76,15904,0,WeekDay,88.17
Bangalore,08-07-2022,2022,Jul,J6,79,South,258,30.62,91.69,53.12,2.33,108.48,S6,Active,94.21624304,0,0,Clear,0.26,HIGH,75,12,2,0,High,Severe,79,108.48,66.22,15737.78,1,WeekDay,39.82
Hyderabad,14-10-2023,2023,Oct,J7,76,Central,273,27.84,77.36,40.09,2.03,91.32,S7,Active,98.2401589,0,0,Rain,0.21,MEDIUM,76,2,2,0,High,Severe,76,91.32,-17.16,15806.78,0,WeekDay,62.9
Pune,13-02-2026,2026,Feb,J8,103,South,191,53.93,84.88,49.69,2.57,108.65,S8,Active,92.32351189,0,0,Clear,0.24,HIGH,63,4,2,0,Medium,Moderate,103,108.65,17.33,15817.56,0,WeekDay,56.21
Chennai,29-05-2023,2023,May,J9,71,North,157,45.22,52.43,38.81,1.33,64.39,S9,Unstable,87.88438165,0,0,Rain,0.17,MEDIUM,38,8,2,1,High,Severe,71,64.39,-44.26,15852.89,0,WeekDay,61.83
Chennai,10-10-2025,2025,Oct,J10,69,West,197,35.03,76.18,53.71,2.76,109.46,S10,Active,98.29184351,0,0,Fog,0.25,HIGH,45,3,2,1,Low,Moderate,69,109.46,45.07,15933.11,0,WeekDay,55.66
Hyderabad,27-07-2025,2025,Jul,J11,75,Central,400,18.75,69.19,39.89,1.93,85.24,S11,Active,90.37869325,0,1,Clear,0.2,MEDIUM,57,1,2,1,High,Severe,75,85.24,-24.22,15907.56,0,WeekDay,68.06
Hyderabad,13-06-2025,2025,Jun,J12,92,South,257,35.8,16.23,10.69,0.87,28.75,S12,Active,95.95379313,0,0,Fog,0.05,LOW,45,8,2,1,Medium,Moderate,92,28.75,-56.49,15993,0,WeekDay,94.09
Bangalore,20-09-2022,2022,Sep,J1,70,South,260,26.92,73.99,45.06,1.96,89.64,S1,Unstable,89.80143518,0,1,Clear,0.22,MEDIUM,51,12,2,1,Medium,Moderate,70,89.64,60.89,15868.78,0,WeekDay,55.19
Hyderabad,12-01-2023,2023,Jan,J2,112,South,352,31.82,27.78,15.38,1.32,44.85,S2,Unstable,89.47323164,0,0,Rain,0.08,LOW,48,3,2,1,Low,Moderate,112,44.85,-44.79,15769.67,0,WeekDay,83.51
Chennai,12-06-2023,2023,Jun,J3,106,Central,378,28.04,52.72,25.11,1.3,59.96,S3,Active,94.63042389,0,0,Clear,0.13,MEDIUM,50,3,2,1,Low,Moderate,106,59.96,15.11,15689.67,0,WeekDay,79.56
Chennai,16-03-2025,2025,Mar,J4,116,East,454,25.55,63.32,38.73,1.34,70.07,S4,Unstable,87.34467153,0,0,Rain,0.19,MEDIUM,52,6,2,1,Medium,Severe,116,70.07,10.11,15796,0,WeekDay,65.86
Pune,06-11-2023,2023,Nov,J5,72,Central,367,19.62,40.02,15.16,0.95,43.47,S5,Active,98.00460806,0,0,Clear,0.09,LOW,56,8,2,1,Medium,Moderate,72,43.47,-26.6,15824.67,0,WeekDay,86.39
Hyderabad,10-01-2025,2025,Jan,J6,66,North,110,60,16.16,7.24,0.38,17.86,S6,Active,90.8143598,0,0,Clear,0.04,LOW,28,4,2,1,Medium,Severe,66,17.86,-25.61,15884.67,0,WeekDay,94.63
Hyderabad,28-10-2022,2022,Oct,J7,107,West,435,24.6,35.35,21.44,0.93,42.65,S7,Unstable,85.28916154,0,0,Clear,0.1,LOW,53,10,2,1,Medium,Severe,107,42.65,24.79,15786.67,0,WeekDay,85.89
Bangalore,19-02-2026,2026,Feb,J8,100,West,499,20.04,69.74,47.01,1.89,86.86,S8,Unstable,89.5815471,0,0,Fog,0.22,MEDIUM,56,9,2,1,High,Severe,100,86.86,44.2,15883,1,WeekDay,49.67
Hyderabad,08-07-2024,2024,Jul,J9,90,East,75,120,57.96,38.05,1.89,78.2,S9,Active,96.77449487,0,0,Rain,0.18,MEDIUM,30,10,2,0,Medium,Moderate,90,78.2,-8.66,15864.89,0,WeekDay,76.73
Pune,30-03-2023,2023,Mar,J10,81,Central,77,105.19,84.86,50.55,2.43,106.19,S10,Active,97.89038283,0,0,Heavy Traffic Event,0.25,HIGH,37,10,2,0,High,Severe,81,106.19,28,15879.11,0,WeekDay,59.52
Hyderabad,15-11-2025,2025,Nov,J11,101,West,245,41.22,18.86,5,0.88,28.62,S11,Active,93.51820415,0,0,Fog,0.04,LOW,69,1,2,0,High,Severe,101,28.62,-77.58,15868.44,0,WeekDay,90.77
Pune,05-02-2022,2022,Feb,J12,82,South,104,78.85,93.83,58.55,2.6,116.4,S12,Unstable,89.41163977,0,0,Fog,0.28,HIGH,51,4,2,0,Medium,Severe,82,116.4,87.78,15769.11,1,WeekDay,48.37
Hyderabad,14-01-2025,2025,Jan,J1,102,East,407,25.06,51.47,35.18,1.57,67.63,S1,Active,92.91781156,0,0,Rain,0.16,MEDIUM,77,8,2,0,High,Severe,102,67.63,-48.77,15844.56,0,WeekDay,74.57
Chennai,08-08-2025,2025,Aug,J2,79,East,351,22.51,74.2,50.96,1.84,89.15,S2,Active,97.54562948,0,0,Clear,0.24,HIGH,79,1,2,0,Low,Moderate,79,89.15,21.52,15831.11,0,WeekDay,59.38
Bangalore,15-04-2025,2025,Apr,J3,88,South,464,18.97,10.42,9.42,0.37,15.35,S3,Unstable,89.74056745,0,0,Heavy Traffic Event,0.04,LOW,81,8,2,0,Medium,Moderate,88,15.35,-73.8,15961.56,0,WeekDay,94.48
Chennai,08-06-2023,2023,Jun,J4,96,East,468,20.51,32.29,19,0.72,36.17,S4,Active,90.7815546,0,0,Clear,0.09,LOW,80,6,2,0,Low,Moderate,96,36.17,20.82,15895.56,0,WeekDay,85.06
Pune,31-10-2025,2025,Oct,J5,118,North,220,53.64,107.03,69.69,2.59,126.21,S5,Active,93.09541199,0,0,Rain,0.33,HIGH,63,2,2,0,High,Severe,118,126.21,90.04,15909.22,1,WeekDay,42.36
Chennai,28-06-2024,2024,Jun,J6,61,North,410,14.88,94.19,53.2,2.99,122.83,S6,Active,98.30707294,0,0,Fog,0.27,HIGH,83,12,2,0,Medium,Severe,61,122.83,-3.38,15873.78,0,WeekDay,61.17
Hyderabad,29-01-2025,2025,Jan,J7,104,West,311,33.44,99.72,59.88,2.34,114.68,S7,Active,93.73223401,0,0,Clear,0.29,HIGH,73,11,2,0,High,Severe,104,114.68,-8.15,15941.67,0,WeekDay,61.01
Hyderabad,27-08-2023,2023,Aug,J8,62,South,399,15.54,58.47,39.4,2.03,81.57,S8,Unstable,88.11422733,0,0,Clear,0.18,MEDIUM,82,4,2,0,Medium,Severe,62,81.57,-33.11,15846.78,0,WeekDay,74.7
Pune,26-01-2022,2022,Jan,J9,103,South,156,66.03,91.68,64.59,2.65,118.16,S9,Unstable,86.33656057,0,0,Clear,0.3,HIGH,57,5,2,0,Low,Good,103,118.16,36.59,15753,1,WeekDay,28.86
Warangal,03-12-2023,2023,Dec,J10,77,West,414,18.6,69.9,42.8,1.73,82.45,S10,Unstable,86.42520935,0,0,Heavy Traffic Event,0.21,MEDIUM,81,3,2,0,Medium,Severe,77,82.45,-35.71,15702.78,0,WeekDay,70.64
Pune,10-08-2026,2026,Aug,J11,97,East,447,21.7,45.2,23.1,1.49,59.26,S11,Active,99.25374361,0,0,Heavy Traffic Event,0.12,LOW,79,5,2,0,Low,Moderate,97,59.26,-23.19,15826.89,0,WeekDay,83.08
Pune,11-11-2024,2024,Nov,J12,78,Central,190,41.05,72.83,48.35,2.31,97.15,S12,Active,97.33618713,0,0,Fog,0.23,MEDIUM,69,11,2,0,Medium,Severe,78,97.15,37.89,15937.67,1,WeekDay,52.75
Chennai,02-05-2026,2026,May,J1,92,East,258,35.66,28.15,18.76,0.6,31.64,S1,Active,96.48782035,0,0,Fog,0.09,LOW,72,1,2,0,Medium,Severe,92,31.64,-65.51,16037.56,0,WeekDay,88.33
Hyderabad,08-01-2025,2025,Jan,J2,120,South,335,35.82,26.66,21.4,0.98,39.43,S2,Active,92.44546869,0,0,Clear,0.09,LOW,72,2,2,0,Medium,Severe,120,39.43,7.79,15975.67,0,WeekDay,88.64
Hyderabad,01-09-2024,2024,Sep,J3,97,West,221,43.89,100.96,57.19,2.83,124.18,S3,Active,95.08809426,0,0,Clear,0.28,HIGH,68,3,2,0,Medium,Severe,97,124.18,84.75,15969.89,0,WeekDay,54.25
Chennai,06-06-2023,2023,Jun,J4,117,West,185,63.24,35.19,19.99,1.32,49.99,S4,Unstable,86.90995457,0,0,Clear,0.1,LOW,58,12,2,0,Low,Moderate,117,49.99,-74.19,15854.44,0,WeekDay,84.88
Warangal,26-06-2025,2025,Jun,J5,112,Central,102,109.8,78.2,48.23,1.92,91.99,S5,Active,94.31343574,0,0,Clear,0.23,HIGH,35,12,2,0,Medium,Severe,112,91.99,42,15872.33,0,WeekDay,68.44
Warangal,15-02-2024,2024,Feb,J6,83,East,316,26.27,54.12,35.35,1.47,67.05,S6,Active,97.16171099,0,0,Clear,0.17,MEDIUM,77,4,2,0,Low,Moderate,83,67.05,-24.94,15848.67,0,WeekDay,68.82
Warangal,18-02-2024,2024,Feb,J7,91,East,203,44.83,95.37,57.52,2.31,111.15,S7,Unstable,85.9320811,0,0,Clear,0.28,HIGH,68,12,2,0,Medium,Moderate,91,111.15,44.1,15874.44,0,WeekDay,52.76
Chennai,29-01-2023,2023,Jan,J8,101,East,198,51.01,50.43,26.7,1.26,58.52,S8,Unstable,89.44225633,0,0,Rain,0.14,MEDIUM,64,10,2,0,High,Severe,101,58.52,-52.63,15775.33,0,WeekDay,79.41
Chennai,22-07-2024,2024,Jul,J9,68,North,76,89.47,70.47,43.01,2.07,89.56,S9,Unstable,86.6541801,0,0,Clear,0.21,MEDIUM,10,3,2,1,Medium,Moderate,68,89.56,31.04,15791.22,0,WeekDay,59.41
Bangalore,11-08-2024,2024,Aug,J10,80,Central,187,42.78,42.72,21.78,1.39,55.63,S10,Unstable,88.90340554,0,0,Clear,0.11,LOW,40,8,2,1,High,Severe,80,55.63,-33.93,15809.44,0,WeekDay,80.43
Pune,19-07-2022,2022,Jul,J11,88,West,355,24.79,80.49,45.17,2.16,97.1,S11,Active,96.58785808,0,0,Fog,0.23,MEDIUM,53,6,2,1,Medium,Severe,88,97.1,41.46,15786.33,0,WeekDay,66.8
Pune,14-06-2026,2026,Jun,J12,120,East,204,58.82,104.43,63.02,2.61,123.37,S12,Unstable,89.98073749,0,0,Clear,0.31,HIGH,29,12,2,1,Low,Moderate,120,123.37,26.27,15869.22,1,WeekDay,31.83
Warangal,06-09-2023,2023,Sep,J1,120,South,368,32.61,78.82,49.35,2.38,101.81,S1,Active,95.34525772,0,0,Clear,0.24,HIGH,47,5,2,1,Low,Moderate,120,101.81,-21.55,15835.78,0,WeekDay,62.89
Bangalore,17-10-2024,2024,Oct,J2,102,East,91,112.09,29.59,14.85,1.24,44.01,S2,Active,96.59953781,0,0,Clear,0.08,LOW,10,8,2,1,Medium,Moderate,102,44.01,-57.8,15928.78,0,WeekDay,86.93
Pune,19-03-2023,2023,Mar,J3,94,West,265,35.47,70.68,50.08,2.46,99.57,S3,Active,97.24958036,0,0,Fog,0.23,HIGH,45,11,2,1,Medium,Moderate,94,99.57,55.56,15794.11,0,WeekDay,58.96
Hyderabad,07-02-2026,2026,Feb,J4,114,East,441,25.85,22.41,12.71,1.26,40.18,S4,Active,98.10063165,0,1,Rain,0.06,LOW,52,1,2,1,High,Moderate,114,40.18,-59.39,15892.11,0,WeekDay,84.56
Warangal,16-11-2022,2022,Nov,J5,96,South,160,60,46.41,28.58,1.03,52.34,S5,Active,93.96453718,0,0,Rain,0.14,MEDIUM,28,3,2,1,High,Severe,96,52.34,12.16,15813.33,0,WeekDay,80.31
Warangal,03-06-2023,2023,Jun,J6,77,Central,126,61.11,46.43,34.37,1.83,70.1,S6,Unstable,89.20959748,0,0,Clear,0.16,MEDIUM,27,7,2,1,High,Severe,77,70.1,17.76,15819.89,0,WeekDay,65.13
Pune,21-09-2024,2024,Sep,J7,87,West,127,68.5,105.66,63.92,2.72,126.43,S7,Unstable,87.25837798,0,0,Clear,0.31,HIGH,22,2,2,1,Medium,Moderate,87,126.43,56.33,15760.67,0,WeekDay,57.63
Hyderabad,04-11-2024,2024,Nov,J8,105,East,461,22.78,10,5,0.77,21.97,S8,Active,92.55562981,0,0,Clear,0.03,LOW,54,8,2,1,Medium,Severe,105,21.97,-104.46,15841.78,0,WeekDay,94.19
Bangalore,27-10-2023,2023,Oct,J9,88,West,243,36.21,18.23,13.9,0.66,26.49,S9,Unstable,86.55335847,0,0,Clear,0.06,LOW,72,11,2,0,High,Severe,88,26.49,4.52,15859.22,0,WeekDay,92.15
Hyderabad,26-08-2023,2023,Aug,J10,68,West,312,21.79,51.19,33.07,1.46,64.66,S10,Active,98.66085968,0,0,Rain,0.16,MEDIUM,79,11,2,0,Medium,Moderate,68,64.66,38.16,15813.44,0,WeekDay,66.06
Bangalore,03-05-2024,2024,May,J11,118,South,173,68.21,65.92,38.83,1.84,81.35,S11,Active,91.63720357,0,0,Fog,0.19,MEDIUM,56,9,2,0,Medium,Severe,118,81.35,16.7,15794.33,0,WeekDay,73.23
Bangalore,07-10-2025,2025,Oct,J12,71,East,466,15.24,101.01,64.28,2.78,125.49,S12,Active,98.09476219,0,0,Clear,0.31,HIGH,82,10,2,0,Low,Moderate,71,125.49,44.14,15871.67,1,WeekDay,44.14
Pune,29-03-2023,2023,Mar,J1,75,East,452,16.59,63.58,39.98,1.84,80.63,S1,Active,95.63905575,0,0,Fog,0.19,MEDIUM,82,4,2,0,Low,Moderate,75,80.63,-44.86,15855.78,0,WeekDay,60.58
Chennai,17-06-2026,2026,Jun,J2,91,West,487,18.69,37.65,21.08,1.58,56.68,S2,Active,97.85826344,0,0,Clear,0.11,LOW,81,10,2,0,Low,Severe,91,56.68,-23.94,15939.11,0,WeekDay,80.34
Pune,17-11-2023,2023,Nov,J3,61,West,288,21.18,43.62,24.53,1.23,53.74,S3,Active,98.25937134,0,0,Clear,0.12,LOW,79,10,2,0,Medium,Severe,61,53.74,-2.95,15861.11,0,WeekDay,82.87
Bangalore,29-09-2024,2024,Sep,J4,101,South,106,95.28,41.89,25.5,0.95,47.62,S4,Unstable,85.79940248,0,0,Clear,0.12,LOW,42,1,2,0,High,Severe,101,47.62,-6.12,15925.22,0,WeekDay,79.83
Hyderabad,15-05-2025,2025,May,J5,101,West,129,78.29,47.53,27.82,1.03,52.71,S5,Active,95.87886772,0,0,Heavy Traffic Event,0.14,MEDIUM,51,1,2,0,High,Severe,101,52.71,5.1,15882,0,WeekDay,80.69
Warangal,10-06-2025,2025,Jun,J6,93,East,327,28.44,19.9,19.55,1.02,36.13,S6,Unstable,88.39821545,0,0,Clear,0.08,LOW,76,9,2,0,Medium,Severe,93,36.13,-16.59,15949.22,0,WeekDay,83.59
Bangalore,20-12-2024,2024,Dec,J7,94,South,246,38.21,97.25,55.39,2.46,114.42,S7,Active,99.83945358,0,0,Rain,0.27,HIGH,71,7,2,0,Medium,Severe,94,114.42,78.3,15957.56,1,WeekDay,37.46
Pune,10-05-2025,2025,May,J8,113,East,74,152.7,12.04,10.82,0.61,21.54,S8,Active,96.67604461,0,0,Clear,0.05,LOW,20,1,2,0,Medium,Moderate,113,21.54,-92.88,15958.33,0,WeekDay,93.11
Warangal,20-01-2023,2023,Jan,J9,84,Central,329,25.53,95.12,63.71,2.71,120.81,S9,Unstable,85.05647504,0,0,Clear,0.3,HIGH,77,6,2,0,High,Severe,84,120.81,99.27,15860.22,0,WeekDay,57.99
Chennai,19-03-2025,2025,Mar,J10,113,North,316,35.76,23.58,21.15,0.51,28.37,S10,Active,98.91124483,0,0,Clear,0.09,LOW,72,9,2,0,Medium,Severe,113,28.37,-92.44,15872.33,0,WeekDay,90.15
Warangal,02-08-2023,2023,Aug,J11,100,East,314,31.85,37.79,16.44,0.89,41.6,S11,Unstable,89.38458853,0,0,Clear,0.09,LOW,74,3,2,0,Medium,Moderate,100,41.6,13.24,15798.78,0,WeekDay,84.55
Pune,12-10-2025,2025,Oct,J12,67,Central,462,14.5,71.11,49.08,2.23,94.89,S12,Active,91.24980399,0,0,Fog,0.23,MEDIUM,83,7,2,0,Low,Severe,67,94.89,53.29,15907.78,0,WeekDay,57.5
Hyderabad,11-08-2023,2023,Aug,J1,78,North,113,69.03,81.3,59.51,2.47,107.94,S1,Active,94.18428368,0,0,Fog,0.27,HIGH,55,4,3,0,Low,Severe,78,107.94,13.05,15838.56,1,WeekDay,41.25
Hyderabad,15-08-2023,2023,Aug,J2,60,Central,295,20.34,100.73,55.95,2.64,119.9,S2,Active,98.74464691,0,0,Clear,0.28,HIGH,80,1,3,0,High,Severe,60,119.9,11.96,15835.56,0,WeekDay,60.66
Pune,12-05-2026,2026,May,J3,66,West,341,19.35,99.54,66.45,2.73,124.4,S3,Active,98.90989935,0,0,Rain,0.31,HIGH,80,10,3,0,Medium,Severe,66,124.4,4.51,15859.11,1,WeekDay,44.99
Warangal,12-12-2022,2022,Dec,J4,86,South,170,50.59,60.2,33.2,1.55,71.05,S4,Active,93.45207644,0,0,Clear,0.17,MEDIUM,65,8,3,0,High,Severe,86,71.05,-53.35,15833,0,WeekDay,70.93
Bangalore,22-08-2023,2023,Aug,J5,84,East,114,73.68,44.72,28.02,1.21,55.02,S5,Unstable,89.75086744,0,0,Fog,0.13,MEDIUM,53,9,3,0,High,Severe,84,55.02,-16.03,15836.44,0,WeekDay,78.35
Bangalore,06-08-2026,2026,Aug,J6,78,North,355,21.97,84.37,46.07,1.97,95.51,S6,Unstable,89.18784913,0,0,Rain,0.23,HIGH,79,2,3,0,Low,Moderate,78,95.51,40.49,15847.33,0,WeekDay,56.04
Warangal,19-05-2026,2026,May,J7,86,South,115,74.78,21.92,11.31,1.33,41.02,S7,Active,90.46595648,0,0,Clear,0.06,LOW,53,1,3,0,High,Severe,86,41.02,-54.49,15987.11,0,WeekDay,90.86
Bangalore,26-08-2023,2023,Aug,J8,94,Central,450,20.89,71.29,39.41,2.09,89.3,S8,Unstable,87.70770525,0,0,Fog,0.2,MEDIUM,80,3,3,0,High,Severe,94,89.3,48.28,15988.67,0,WeekDay,65.96
Warangal,14-11-2022,2022,Nov,J9,96,East,266,36.09,80.12,40.89,2.27,97.65,S9,Active,95.04749527,0,0,Clear,0.21,MEDIUM,72,12,3,0,Medium,Severe,96,97.65,8.35,15839,0,WeekDay,65.36
Hyderabad,12-12-2025,2025,Dec,J10,61,Central,65,93.85,89.96,56.85,2.64,114.85,S10,Active,92.91703077,0,0,Clear,0.27,HIGH,43,3,3,0,Medium,Moderate,61,114.85,17.2,15818.56,0,WeekDay,55.73
Bangalore,04-10-2025,2025,Oct,J11,79,East,228,34.65,68.18,41.44,2.1,88.58,S11,Active,96.6019705,0,0,Fog,0.2,MEDIUM,73,11,3,0,Medium,Moderate,79,88.58,-26.28,15902.67,0,WeekDay,59.13
Hyderabad,20-05-2023,2023,May,J12,113,North,176,64.2,62.29,36.46,2,82.06,S12,Unstable,86.41166975,0,0,Clear,0.18,MEDIUM,58,7,3,0,Medium,Severe,113,82.06,-6.52,15925.44,0,WeekDay,67.65
Warangal,22-06-2024,2024,Jun,J1,93,West,64,145.31,97.38,56.81,2.24,110.43,S1,Active,90.99858737,0,0,Clear,0.28,HIGH,20,3,3,0,Low,Moderate,93,110.43,28.38,15869.11,1,WeekDay,46.25
Chennai,31-01-2024,2024,Jan,J2,98,North,171,57.31,46.94,33.37,1.44,62.21,S2,Unstable,88.59794302,0,0,Clear,0.15,MEDIUM,61,5,3,0,Low,Moderate,98,62.21,-48.23,15803.11,0,WeekDay,65.14
Warangal,10-10-2026,2026,Oct,J3,101,North,196,51.53,72.76,42.46,2.18,92.7,S3,Active,93.02779309,0,1,Fog,0.21,MEDIUM,64,5,3,0,High,Severe,101,92.7,30.5,15939.78,1,WeekDay,50.39
